borrower_id,capacity_top_positive,capacity_top_negative,capacity_driver_note,character_top_positive,character_top_negative,character_driver_note,capital_top_positive,capital_top_negative,capital_driver_note,compliance_top_positive,compliance_top_negative,compliance_driver_note,collateral_top_positive,collateral_top_negative,collateral_driver_note
MSME-00388,Revenue CAGR (3yr),Leverage (debt / net worth),,Civil suit status,Bureau score,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,EPFO on-time remittance ratio,Salary payment timeliness,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00389,Debt service coverage ratio,Supplier concentration,,Bureau score,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Bank covenant compliance,Salary payment timeliness,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00390,Cash flow vs. declared turnover match,Projected revenue growth,,Civil suit status,Cheque bounce rate,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,EPFO on-time remittance ratio,GST on-time filing ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00391,Debt service coverage ratio,Customer concentration,,Civil suit status,Owner's time in business,,,,no data available for this dimension,Bank covenant compliance,EPFO on-time remittance ratio,,,,no data available for this dimension
MSME-00392,Debt service coverage ratio,Customer concentration,,Civil suit status,Owner's time in business,,,,no data available for this dimension,GST on-time filing ratio,Rent payment timeliness,,,,no data available for this dimension
MSME-00393,Interest coverage ratio,Cash flow vs. declared turnover match,,Civil suit status,Owner's time in business,,,,no data available for this dimension,Salary payment timeliness,Utility payment timeliness,,,,no data available for this dimension
MSME-00394,Cash flow vs. declared turnover match,Revenue CAGR (3yr),,Civil suit status,Bureau score,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Salary payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00395,Current ratio,Cash flow vs. declared turnover match,,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Utility payment timeliness,Salary payment timeliness,,,,no data available for this dimension
MSME-00396,Revenue CAGR (3yr),Customer concentration,,Civil suit status,Owner's time in business,,,,no data available for this dimension,GST on-time filing ratio,Rent payment timeliness,,,,no data available for this dimension
MSME-00397,Current ratio,Supplier concentration,,Bureau score,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Utility payment timeliness,Rent payment timeliness,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00398,Revenue CAGR (3yr),Projected revenue growth,,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Utility payment timeliness,Rent payment timeliness,,,,no data available for this dimension
MSME-00399,Revenue CAGR (3yr),Customer concentration,,Civil suit status,Owner's time in business,,,,no data available for this dimension,Utility payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00400,Cash flow vs. declared turnover match,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,,no data available for this dimension,Utility payment timeliness,Salary payment timeliness,,,,no data available for this dimension
